[[ 2, 6, 8, 14, 32, 90 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 10, 14, 34, 114 ],'<2, 1>',x^13 + x^12 + x^10 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 14, 34, 114 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + 1]
[[ 2, 6, 8, 22, 32, 78 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2]
[[ 2, 6, 8, 22, 32, 78 ],'<2, 1>',x^14 + x^13 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 4, 14, 44, 54 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 30, 14, 66 ],'<2, 1>',x^13 + x^12 + x^9 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 30, 14, 66 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + y^2 + 1]
[[ 2, 6, 8, 14, 52, 42 ],'<2, 1>',x^13 + x^12 + x^10 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 6, 8, 14, 52, 42 ],'<2, 1>',x^14 + x^13 + x^11 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + x + y^2]
[[ 4, 6, 10, 22, 34, 78 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 22, 34, 78 ],'<2, 1>',x^14 + x^13 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 16, 14, 44, 78 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 8, 6, 32, 54 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2]
