[[1, 4, 7], [2, 4], [3, 5], [6, 7]]
[35, 40, 7, 42, 49, 43, 39, 44, 54]
[35, 40, 7, 42, 43, 50, 39, 44, 51]
[35, 40, 7, 42, 43, 50, 52, 39, 44]
[35, 40, 7, 42, 43, 50, 39, 44, 53]
[35, 40, 7, 42, 43, 50, 39, 44, 54]
[35, 40, 7, 42, 43, 52, 39, 44, 51]
[35, 40, 7, 42, 43, 39, 44, 51, 53]
[35, 40, 7, 42, 43, 39, 44, 51, 54]
[35, 40, 7, 42, 43, 52, 39, 44, 53]
[35, 40, 7, 42, 43, 52, 39, 44, 54]
[35, 40, 7, 42, 43, 39, 44, 53, 54]
[35, 40, 7, 42, 49, 43, 50, 39, 51]
[35, 40, 7, 42, 49, 43, 50, 52, 39]
[35, 40, 7, 42, 49, 43, 50, 39, 53]
[35, 40, 7, 42, 49, 43, 50, 39, 54]
[35, 40, 7, 42, 49, 43, 52, 39, 51]
[35, 40, 7, 42, 49, 43, 39, 51, 53]
[35, 40, 7, 42, 49, 43, 39, 51, 54]
[35, 40, 7, 42, 49, 43, 52, 39, 53]
[35, 40, 7, 42, 49, 43, 52, 39, 54]
[35, 40, 7, 42, 49, 43, 39, 53, 54]
[35, 40, 7, 42, 43, 50, 52, 39, 51]
[35, 40, 7, 42, 43, 50, 39, 51, 53]
[35, 40, 7, 42, 43, 50, 39, 51, 54]
[35, 40, 7, 42, 43, 50, 52, 39, 53]
[35, 40, 7, 42, 43, 50, 52, 39, 54]
[35, 40, 7, 42, 43, 50, 39, 53, 54]
[35, 40, 7, 42, 43, 52, 39, 51, 53]
[35, 40, 7, 42, 43, 52, 39, 51, 54]
[35, 40, 7, 42, 43, 39, 51, 53, 54]
[35, 40, 7, 42, 43, 52, 39, 53, 54]
[35, 40, 7, 42, 49, 50, 39, 44, 51]
[35, 40, 7, 42, 49, 50, 52, 39, 44]
[35, 40, 7, 42, 49, 50, 39, 44, 53]
[35, 40, 7, 42, 49, 50, 39, 44, 54]
[35, 40, 7, 42, 49, 52, 39, 44, 51]
[35, 40, 7, 42, 49, 39, 44, 51, 53]
[35, 40, 7, 42, 49, 39, 44, 51, 54]
[35, 40, 7, 42, 49, 52, 39, 44, 53]
[35, 40, 7, 42, 49, 52, 39, 44, 54]
[35, 40, 7, 42, 49, 39, 44, 53, 54]
[35, 40, 7, 42, 50, 52, 39, 44, 51]
[35, 40, 7, 42, 50, 39, 44, 51, 53]
