[[1], [2, 4], [3, 5], [6, 7]]
[34, 35, 42, 49, 43, 50, 9, 53]
[34, 35, 42, 49, 43, 50, 9, 54]
[34, 35, 42, 49, 43, 52, 9, 51]
[34, 35, 42, 49, 43, 9, 51, 53]
[34, 35, 42, 49, 43, 9, 51, 54]
[34, 35, 42, 49, 43, 52, 9, 53]
[34, 35, 42, 49, 43, 52, 9, 54]
[34, 35, 42, 49, 43, 9, 53, 54]
[34, 35, 42, 43, 50, 52, 9, 51]
[34, 35, 42, 43, 50, 9, 51, 53]
[34, 35, 42, 43, 50, 9, 51, 54]
[34, 35, 42, 43, 50, 52, 9, 53]
[34, 35, 42, 43, 50, 52, 9, 54]
[34, 35, 42, 43, 50, 9, 53, 54]
[34, 35, 42, 43, 52, 9, 51, 53]
[34, 35, 42, 43, 52, 9, 51, 54]
[34, 35, 42, 43, 9, 51, 53, 54]
[34, 35, 42, 43, 52, 9, 53, 54]
[34, 35, 42, 49, 50, 9, 44, 51]
[34, 35, 42, 49, 50, 52, 9, 44]
[34, 35, 42, 49, 50, 9, 44, 53]
[34, 35, 42, 49, 50, 9, 44, 54]
[34, 35, 42, 49, 52, 9, 44, 51]
[34, 35, 42, 49, 9, 44, 51, 53]
[34, 35, 42, 49, 9, 44, 51, 54]
[34, 35, 42, 49, 52, 9, 44, 53]
[34, 35, 42, 49, 52, 9, 44, 54]
[34, 35, 42, 49, 9, 44, 53, 54]
[34, 35, 42, 50, 52, 9, 44, 51]
[34, 35, 42, 50, 9, 44, 51, 53]
[34, 35, 42, 50, 9, 44, 51, 54]
[34, 35, 42, 50, 52, 9, 44, 53]
[34, 35, 42, 50, 52, 9, 44, 54]
[34, 35, 42, 50, 9, 44, 53, 54]
[34, 35, 42, 52, 9, 44, 51, 53]
[34, 35, 42, 52, 9, 44, 51, 54]
[34, 35, 42, 9, 44, 51, 53, 54]
[34, 35, 42, 52, 9, 44, 53, 54]
[34, 35, 42, 49, 50, 52, 9, 51]
[34, 35, 42, 49, 50, 9, 51, 53]
[34, 35, 42, 49, 50, 9, 51, 54]
[34, 35, 42, 49, 50, 52, 9, 53]
[34, 35, 42, 49, 50, 52, 9, 54]
[34, 35, 42, 49, 50, 9, 53, 54]
[34, 35, 42, 49, 52, 9, 51, 53]
[34, 35, 42, 49, 52, 9, 51, 54]
[34, 35, 42, 49, 9, 51, 53, 54]
[34, 35, 42, 49, 52, 9, 53, 54]
[34, 35, 42, 50, 52, 9, 51, 53]
[34, 35, 42, 50, 52, 9, 51, 54]
[34, 35, 42, 50, 9, 51, 53, 54]
[34, 35, 42, 50, 52, 9, 53, 54]
[34, 35, 42, 52, 9, 51, 53, 54]
[34, 35, 49, 43, 50, 9, 44, 51]
[34, 35, 49, 43, 50, 52, 9, 44]
[34, 35, 49, 43, 50, 9, 44, 53]
[34, 35, 49, 43, 50, 9, 44, 54]
[34, 35, 49, 43, 52, 9, 44, 51]
[34, 35, 49, 43, 9, 44, 51, 53]
[34, 35, 49, 43, 9, 44, 51, 54]
[34, 35, 49, 43, 52, 9, 44, 53]
[34, 35, 49, 43, 52, 9, 44, 54]
[34, 35, 49, 43, 9, 44, 53, 54]
[34, 35, 43, 50, 52, 9, 44, 51]
[34, 35, 43, 50, 9, 44, 51, 53]
[34, 35, 43, 50, 9, 44, 51, 54]
[34, 35, 43, 50, 52, 9, 44, 53]
[34, 35, 43, 50, 52, 9, 44, 54]
[34, 35, 43, 50, 9, 44, 53, 54]
[34, 35, 43, 52, 9, 44, 51, 53]
[34, 35, 43, 52, 9, 44, 51, 54]
[34, 35, 43, 9, 44, 51, 53, 54]
[34, 35, 43, 52, 9, 44, 53, 54]
[34, 35, 49, 43, 50, 52, 9, 51]
[34, 35, 49, 43, 50, 9, 51, 53]
[34, 35, 49, 43, 50, 9, 51, 54]
[34, 35, 49, 43, 50, 52, 9, 53]
[34, 35, 49, 43, 50, 52, 9, 54]
[34, 35, 49, 43, 50, 9, 53, 54]
[34, 35, 49, 43, 52, 9, 51, 53]
[34, 35, 49, 43, 52, 9, 51, 54]
[34, 35, 49, 43, 9, 51, 53, 54]
[34, 35, 49, 43, 52, 9, 53, 54]
[34, 35, 43, 50, 52, 9, 51, 53]
[34, 35, 43, 50, 52, 9, 51, 54]
[34, 35, 43, 50, 9, 51, 53, 54]
[34, 35, 43, 50, 52, 9, 53, 54]
[34, 35, 43, 52, 9, 51, 53, 54]
[34, 35, 49, 50, 52, 9, 44, 51]
[34, 35, 49, 50, 9, 44, 51, 53]
[34, 35, 49, 50, 9, 44, 51, 54]
[34, 35, 49, 50, 52, 9, 44, 53]
[34, 35, 49, 50, 52, 9, 44, 54]
[34, 35, 49, 50, 9, 44, 53, 54]
[34, 35, 49, 52, 9, 44, 51, 53]
[34, 35, 49, 52, 9, 44, 51, 54]
[34, 35, 49, 9, 44, 51, 53, 54]
[34, 35, 49, 52, 9, 44, 53, 54]
[34, 35, 50, 52, 9, 44, 51, 53]
[34, 35, 50, 52, 9, 44, 51, 54]
[34, 35, 50, 9, 44, 51, 53, 54]
[34, 35, 50, 52, 9, 44, 53, 54]
[34, 35, 52, 9, 44, 51, 53, 54]
[34, 35, 49, 50, 52, 9, 51, 53]
[34, 35, 49, 50, 52, 9, 51, 54]
[34, 35, 49, 50, 9, 51, 53, 54]
[34, 35, 49, 50, 52, 9, 53, 54]
[34, 35, 49, 52, 9, 51, 53, 54]
[34, 35, 50, 52, 9, 51, 53, 54]
[34, 40, 37, 42, 38, 43, 9, 39]
[34, 40, 37, 42, 38, 9, 39, 44]
[34, 40, 37, 42, 49, 38, 9, 39]
[34, 40, 37, 42, 38, 50, 9, 39]
[34, 40, 37, 42, 38, 9, 39, 51]
[34, 40, 37, 42, 38, 52, 9, 39]
[34, 40, 37, 42, 38, 9, 39, 53]
[34, 40, 37, 42, 38, 9, 39, 54]
[34, 40, 37, 38, 43, 9, 39, 44]
[34, 40, 37, 49, 38, 43, 9, 39]
[34, 40, 37, 38, 43, 50, 9, 39]
[34, 40, 37, 38, 43, 9, 39, 51]
[34, 40, 37, 38, 43, 52, 9, 39]
[34, 40, 37, 38, 43, 9, 39, 53]
[34, 40, 37, 38, 43, 9, 39, 54]
